Term,Subj,Num,Dept Desc,Units,Cap,Enrolled,Yr
Summer,CSC,485D,Computer Science,3.0,46.0,22.0,4
Summer,CSC,490,Computer Science,6.0,4.0,4.0,4
Summer,CSC,497,Computer Science,4.5,3.0,3.0,4
Summer,CSC,499,Computer Science,9.0,6.0,6.0,4
Summer,ECE,216,Electrical & Computer Engg,3.0,120.0,109.0,2
Summer,ECE,220,Electrical & Computer Engg,3.0,180.0,148.0,2
Summer,ECE,242,Electrical & Computer Engg,1.5,25.0,9.0,2
Summer,ECE,250,Electrical & Computer Engg,1.5,140.0,97.0,2
Summer,ECE,260,Electrical & Computer Engg,3.0,130.0,111.0,2
Summer,ECE,299,Electrical & Computer Engg,3.0,180.0,124.0,2
Summer,ECE,310,Electrical & Computer Engg,3.0,95.0,33.0,3
Summer,ECE,403,Electrical & Computer Engg,1.5,80.0,75.0,4
Summer,ECE,404,Electrical & Computer Engg,1.5,60.0,21.0,4
Summer,ECE,410,Electrical & Computer Engg,1.5,70.0,58.0,4
Summer,ECE,412,Electrical & Computer Engg,1.5,42.0,23.0,4
Summer,ECE,417,Electrical & Computer Engg,1.5,22.0,2.0,4
Summer,ECE,434,Electrical & Computer Engg,1.5,25.0,16.0,4
Summer,ECE,450,Electrical & Computer Engg,1.5,35.0,15.0,4
Summer,ECE,452,Electrical & Computer Engg,1.5,35.0,14.0,4
Summer,ECE,456,Electrical & Computer Engg,1.5,60.0,43.0,4
Summer,ECE,466,Electrical & Computer Engg,1.5,50.0,35.0,4
Summer,ECE,470,Electrical & Computer Engg,3.0,81.0,62.0,4
Summer,ECE,498,Electrical & Computer Engg,6.0,2.0,2.0,4
Summer,ECE,499,Electrical & Computer Engg,1.5,128.0,124.0,4
Summer,SENG,265,Computer Science,3.0,115.0,84.0,2
Summer,SENG,275,Computer Science,1.5,60.0,69.0,2
Summer,SENG,310,Computer Science,4.5,140.0,118.0,3
Summer,SENG,421,Computer Science,3.0,54.0,38.0,4
Summer,SENG,426,Engineering & Computer Science,3.0,66.0,60.0,4
Summer,SENG,440,Engineering & Computer Science,3.0,95.0,70.0,4
Summer,SENG,475,Electrical & Computer Engg,3.0,41.0,25.0,4
Summer,SENG,490,Computer Science,6.0,4.0,4.0,4
Summer,SENG,499,Engineering & Computer Science,1.5,45.0,39.0,4
